MAE,RMSE,R2,N,horizon_h,model,improve_vs_persistence_mae_pct,improve_vs_daily_naive_mae_pct
0.9016523155690016,2.737974000797582,0.7726785161491317,8594,1,persistence,0.0,77.13276740745127
1.4181686900521204,3.6790256610255123,0.5863627735139787,7878,1,lgbm_small,-57.28553740331307,64.03315032754418
1.435743697518462,3.8237707617036842,0.5531747783035579,7878,1,ridge_lag,-59.234737462234975,63.58742221637641
1.4427147956732245,3.7705459113113524,0.5655273429508274,7878,1,rf_stable,-60.007884498447396,63.41062488532333
1.449732326671241,3.684457075092302,0.5851405513104893,7878,1,lgbm_medium,-60.78618128500729,63.232649948880336
1.4787286335733325,3.7429698482640807,0.5718591758987939,7878,1,lgbm_large,-64.00208905803763,62.497260838459646
2.6520132848833575,5.120981438388794,0.20435687959613202,8621,1,rolling_mean_24h,-194.1281510722638,32.74103157414235
3.658841270414162,5.873984201980849,-0.04753734056118675,8628,1,rolling_mean_168h,-305.7929211999188,7.206388865116605
3.942988343341575,7.332005809859148,-0.6195353330435229,8493,1,seasonal_naive_daily,-337.30696137050245,0.0
4.8880339863110684,8.225198916440295,-1.0331453029765791,8474,1,seasonal_naive_weekly,-442.1196066275723,-23.967751377337148
2.5029959040374488,6.12299978684481,-0.13668310548503437,8545,6,persistence,0.0,40.44914720745019
2.5819279554733026,5.194277835073942,0.17870101363765334,7833,6,rf_stable,-3.1535030204617085,38.57120926592642
2.609295510630329,5.278985181722254,0.1516954016357588,7833,6,lgbm_small,-4.246894947826886,37.92008504881556
2.6436423686858785,5.25250340615333,0.16018501276106345,7833,6,lgbm_medium,-5.619124842416262,37.10291044431328
2.646512732675249,5.529091205972818,0.0694098673479373,7833,6,ridge_lag,-5.733801977314498,37.03461923252332
2.7064732177861153,5.361594357058504,0.12493796507061206,7833,6,lgbm_large,-8.129350648175178,35.60804956996519
3.100537380510174,5.6453596343849295,0.03368704318178872,8611,6,rolling_mean_24h,-23.873050511543514,26.232542040229845
3.74228606062936,5.969876289814924,-0.08190937316171776,8623,6,rolling_mean_168h,-49.51227265665432,10.964166603440075
4.203123526638378,7.501105843352234,-0.6961270093690661,8484,6,seasonal_naive_daily,-67.92370773993454,0.0
4.837009919697685,8.118211018550205,-0.9792116880913186,8468,6,seasonal_naive_weekly,-93.24881482607955,-15.081317240425815
3.136407264565875,5.669297699619458,0.013815251895412772,7795,12,ridge_lag,1.7242768308797043,27.600135329857466
3.139895253298985,5.593543030064668,0.03999449625930385,7795,12,rf_stable,1.6149847057705755,27.519619666250534
3.191436464088398,6.73818822948449,-0.3738531690577813,8507,12,persistence,0.0,26.329858142532952
3.232952232874995,6.043802034405536,-0.12077959916701153,7795,12,lgbm_medium,-1.3008489830129075,25.371520851395925
3.242852477142618,5.735817949245625,-0.009463158465785604,7795,12,lgbm_large,-1.6110617783803047,25.142986644988753
3.298505903732201,6.058330783665095,-0.12617457992073478,7795,12,lgbm_small,-3.354898048217499,23.85829999123773
3.467339100418705,5.939734493640575,-0.06850205900516215,8599,12,rolling_mean_24h,-8.645092560509921,19.96100618949596
3.8102500049494594,6.0301161115549915,-0.10323665923715031,8617,12,rolling_mean_168h,-19.389812325084762,12.045355896746376
4.332062330303387,7.299192041745654,-0.6722422755832975,8471,12,seasonal_naive_daily,-35.74020285378915,0.0
4.742944930276531,7.960541315360521,-0.9013388788596541,8462,12,seasonal_naive_weekly,-48.61473770969481,-9.484688091834743
3.5990802363515466,5.917573862756907,-0.08580093210512829,7763,24,ridge_lag,7.189993570309763,21.430595699770702
3.6698396634495665,5.858842794593112,-0.06435505081593496,7763,24,rf_stable,5.36530991430278,19.885888254917315
3.7447999645582084,5.874645852440393,-0.07010456463980064,7763,24,lgbm_small,3.432297708129494,18.249473999745778
3.7866050364595396,5.877608769427065,-0.07118426565880198,7763,24,lgbm_large,2.3542642281397934,17.336852057383773
3.8569315678929335,6.053245521412273,-0.136159787203046,7763,24,lgbm_medium,0.5407437157080838,15.801594903232516
3.8779010742533346,7.295869998940186,-0.6000984498965694,8471,24,persistence,0.0,15.343821940416674
3.8977433584934134,6.110397192063566,-0.13127515363047237,8605,24,rolling_mean_168h,-0.5116758746585414,14.910656700877809
3.941760882211309,6.28545955160828,-0.19380877356994075,8575,24,rolling_mean_24h,-1.6467621719893923,13.949736023879472
4.548053715097018,7.595447997113636,-0.7359994364495916,8452,24,seasonal_naive_weekly,-17.28132378860947,0.7141137028783096
4.580765589871022,7.821713203145237,-0.8313249291829126,8451,24,seasonal_naive_daily,-18.124869669425987,0.0
3.9326391396639773,5.708095986629671,-0.09587709606074934,7729,48,ridge_lag,14.3375771284565,18.496530339445098
3.941686893181706,6.140853435142414,-0.13990335316221914,8581,48,rolling_mean_168h,14.140495102786732,18.309016744085977
4.061141156929947,6.071402974016715,-0.2398165609905758,7729,48,lgbm_small,11.53849138680758,15.833341601906369
4.103751796299224,6.05786807088896,-0.2342949072608309,7729,48,rf_stable,10.61032826813667,14.950241264012817
4.117477913143895,6.0797371827164435,-0.243222687049647,7729,48,lgbm_medium,10.3113401373231,14.665769155569514
4.242980327456417,6.22147577630599,-0.30186557793822777,7729,48,lgbm_large,7.577593026430662,12.064746825785898
4.44940112965902,6.933939592124296,-0.44858557352799733,8549,48,rolling_mean_24h,3.0812470816884416,7.786700711678204
4.561055067647756,7.717116884545146,-0.8055602854249377,8426,48,seasonal_naive_weekly,0.6491533879656458,5.472686375716531
4.590856769906253,7.832456801911844,-0.8319849616074295,8427,48,persistence,0.0,4.855049707413979
4.825118680275338,7.59192633123777,-0.7746916534249839,8426,48,seasonal_naive_daily,-5.1027928360716155,0.0
3.8750453933756335,5.363522114331904,-0.07381519043280438,7708,72,ridge_lag,19.80779082221392,23.871008493761835
3.944736127710867,6.110512766658587,-0.12568943623398598,8558,72,rolling_mean_168h,18.365574440666922,22.5018670299379
4.122781382137732,5.659588140196622,-0.19563617846510817,7708,72,rf_stable,14.681013142231764,19.003996866878655
4.207931473439324,5.885559070613746,-0.2930187953490837,7708,72,lgbm_small,12.918872769673062,17.331141475678365
4.308086055343644,6.017143133499109,-0.35148141234048436,7708,72,lgbm_medium,10.846221647723638,15.363508444039784
4.3298585412042145,6.107172782216907,-0.39222621246322054,7708,72,lgbm_large,10.395650476754641,14.935767031259791
4.715283005856877,7.26350079446561,-0.5849047253176187,8526,72,rolling_mean_24h,2.4194757087120164,7.363732947220708
4.766674598453301,7.968904729866849,-0.9304347914498088,8405,72,seasonal_naive_weekly,1.3559513044515703,6.354095712272846
4.832196834463882,7.6012031287110835,-0.7742545146383009,8403,72,persistence,0.0,5.06684840486158
5.090104724503154,8.428900597717789,-1.12049113910138,8403,72,seasonal_naive_daily,-5.337280306957655,0.0
